address	balance
3A9qNS69dngSU2ak8BwZKEExeVnL2RqpYJ	632501000547
1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb	631590561582
1LBBmkr9muf7RjjBbzQQvzNQpRRaVEnavs	620000174155
bc1quq29mutxkgxmjfdr7ayj3zd9ad0ld5mrhh89l2	617514146671
1KNm4K8GUK8sMoxc2Z3zU8Uv5FDVjrA72p	616075954150
3JsY8m7nG2K2siHXzqto612u36hAzF7C6X	609659845157
1JdTWTAubsDWXWd7wcsFwMuSapMBh6efrQ	607150053271
1EMQxNyqsSLkguWJsQmGTjwdL7YqbRVcVF	606115181746
3JPauiFhP4K3AevmgNMFfMSN7pLZbuADJQ	600100017654
1J3B2ucUpWjWPPpejUCoLN93Gwz3q65CTd	600000060518
138EMxwMtKuvCEUtm4qUfT2x344TSReyiT	590756300799
1JyhfrWUvd525311a5dUgcY6c5VdnCCPBD	577930811305
19pnUzv5KHALEu3DRpyHogT6N3BeHbqJrS	573038949922
13n67sFKgqLDKp8gx8Xvm6scdfY4ZeaU8p	570008284684
1JtAupan5MSPXxSsWFiwA79bY9LD2Ga1je	568523365805
3R2Hzkp1vKi5TNuLdUTiQphJQA6SKLa7zS	565032831937
147sPaNaqeyQp8GS2oAUajhb9d4PZ9xAv9	565005765449
18oP9DDaxKrC3XTMC2kZK1wLDGwUcky2oR	564674736457
1DR93bfKVCUJkDvPuxbUAEtzYRaJEnwjNt	559999956869
1CCqLR8YrUMPFgYZWwLW8FkezbFjfeXD8n	559532257862
3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJys	559380913986
bc1qrj8jwwea530rx00ldc22w8mnaclae4m54e6tgy	553177958958
3QdV7vA2N1Ex5XK6hEN2gsdvo8aVoLU2Q6	550810055949
bc1quv866t7ke929gxttpgc2u30ffnczpgfrjugwxv	550000003285
3ANziRvoBdNGkmGopgyhvzPuBvcL8sRL7S	549158516048
bc1qknut9xryztj4mmnh4k2a4rrfjk9l5fwyezr75f	542532220000
3Bovao8xZUUPB9HhisE9r7F4LFq1UJPZQ1	539455357056
188r3qaNRfFMVebuPDVEHBzKmWfTSdBj7p	537710393343
16uqkxBvUmCKEGfscM7pNiZX8GUGmhruEw	536532884555
37j8MPaE8JdtUBHGAmGUH7c931LsAonvDR	531399995984
3HroDXv8hmzKRtaSfBffRgedKpru8fgy6M	528536229704
3H3b3kxRwoKDnJbdV2JdhJ5h7iPsHgFN4B	525578322064
